SSN,pH,%N,%C,C % Inorg  ,C % Org,Am Ox_Al mg/kg,Am Ox-Fe mg/kg,AmOx-Mn/mg/kg,AmOx-Pmg/kg, Olsen P mg/kg,pbi no units,Caex cmolc/ kg soil,Kex cmolc/ kg soil,Mgex cmolc/ kg soil,Naex cmolc/ kg soil,ECEC cmolc/ kg soil,ICP OES Al mg/kg ,ICP OES Ca mg/kg ,ICP OES Co mg/kg ,ICP OES Cr mg/kg ,ICP OES Cu mg/kg ,ICP OES Fe mg/kg ,ICP OES K mg/kg ,ICP OES Mg mg/kg ,ICP OES Mn mg/kg ,ICP OES Na mg/kg ,ICP OES Ni mg/kg ,ICP OES P mg/kg ,ICP OES Pb mg/kg ,ICP OES S mg/kg ,ICP OES Zn mg/kg ,ICPMS As 75 mg/kg,ICP MS Se 78 mg/kg,ICP MS Mo 95 mg/kg,ICP MS Cd 114 mg/kg,P,K,S,Ca,Mg,Cu,Zn,Fe,Mn,Mo,Public,Latitude,Longitude,Cluster,Plot,Depth,Cultivated
icr006454,7.85,0.08,0.95,0.0,0.94,2105.9737134770003,868.3477973255,160.462824696,27.4565448475,2.7,79.3,15.21,1.5406750367782398,3.5679855687757005,0.040272002120685,21.926116142881398,29014.85544,3257.1523850000012,6.58616712,52.22530598,11.15067476,16670.19198,8517.919223,4448.932189,278.46565539999995,47.8877279,24.42976086,96.57513082,2.598904478,76.23716314,26.77264255,0.275148418678311,0.279135887464182,0.059725853949606,0.028904255435973997,0.00506,1.5926,0.00457,0.44832,0.5575,0.00098,0.00203,1.16865,0.0201,0.01845,True,-6.12600994,36.44020081,1,1,top,True
icr006455,8.03,0.06,0.81,0.1,0.7,2703.686191477,1095.6702840255,185.252606496,48.3099296375,1.38,108.91,14.99,2.1804895990482103,3.45600878046054,0.02362292016246,19.1375268810453,35497.94748,6257.135488,7.7311953110000005,58.87812741,12.98346214,20161.11761,10859.30378,5382.424835,319.3923962,53.88358985,29.36430032,117.42313859999999,3.2029636160000003,71.83018618,30.59578335,0.353719885647628,0.31185261798917496,0.08784920055435,0.034731095043563996,0.00506,2.0421400000000003,0.00457,0.90155,0.40326,0.00124,0.00266,1.59154,0.025660000000000002,0.01845,True,-6.12600994,36.44020081,1,1,sub,True
icr006474,5.01,0.05,0.57,0.0,0.57,1554.842158477,949.2351988255,52.608644076000004,22.8873389075,2.5,48.31,1.16,0.6563738380048921,0.6896435986460949,0.012822335036264,3.8785428321737694,25915.49391,267.669484,3.745461235,71.12524918,11.18726731,12024.05452,1343.124117,592.0484727999999,81.72606040000002,41.82301553,12.74177105,87.04007317,1.955844485,53.86355667,16.70462343,0.371204823867046,0.31838566784350003,0.12207496418091199,0.005390653973113,0.00506,1.28172,0.00457,0.08997999999999999,0.5575,0.00093,0.00144,0.88799,0.00792,0.01845,True,-6.08874989,36.43598175,2,1,top,False
icr006475,4.57,0.05,0.47,0.0,0.47,1846.889773477,1070.0191990255,33.656657706,9.3816717475,1.36,83.09,1.0,0.496624854187181,0.5315915339680449,0.031200360667247008,2.96516599864246,32557.34347,213.38720899999998,3.8148626689999996,79.35302531,13.03337329,14467.42622,1487.768795,691.4423947,64.41284972,35.13905933,14.91861582,83.55548226,1.817534772,47.46560779,20.0731948,0.414071994192466,0.351492876999516,0.13888383519476502,0.003355862882333,0.00506,1.29913,0.00457,0.09441000000000001,0.5575,0.0013,0.0022,1.25013,0.008190000000000001,0.01845,True,-6.08874989,36.43598175,2,1,sub,False
icr006492,6.78,0.09,0.98,0.0,0.98,1871.5593054770002,1204.9120350255,172.634574096,32.1098821575,2.14,38.35,5.41,0.7362135318023199,1.6638727903350499,0.013414701407021005,8.01619674359409,30120.52145,1263.4019230000001,8.23957425,81.20799608,18.10957267,20798.726000000002,2999.24076,2376.152831,262.0177594,102.9927186,24.40383259,150.93646299999997,3.32646447,100.773286,26.10203865,0.415931266543995,0.4886701542604671,0.085806653898472,0.031715932373749,0.00506,2.2145599999999996,0.00457,0.76517,0.5575,0.00144,0.00216,1.4894,0.01938,0.01845,True,-6.0639400000000006,36.4405,3,1,top,False
icr006493,6.09,0.06,0.56,0.0,0.56,2560.093479477,2252.2545105255,152.809077646,30.8564599275,1.23,49.76,3.48,0.47228364804778394,1.5184833048793798,0.019802321842182,5.23864175971492,41049.48603,923.4599967,9.206622555,83.76072137,21.69014046,25213.54276,3349.502357,2750.7411079999997,250.1746085,92.91279809999999,29.3656706,138.13051399999998,2.975792915,66.08067081,32.03223956,0.40607425089764404,0.508119965071555,0.038857501717532016,0.024763311397689,0.00506,2.08288,0.00457,0.67702,0.5575,0.0016899999999999999,0.00233,1.7699,0.01991,0.01845,True,-6.0639400000000006,36.4405,3,1,sub,False
icr006510,6.81,0.09,0.98,0.0,0.98,1320.844888477,718.2484842255002,187.442313096,36.5697307375,2.52,32.33,4.14,0.7828867674672979,1.95294433446177,0.0034726403756890002,7.180006794501951,27946.13109,1043.289516,7.952616244,111.38430020000001,11.03163686,13043.07539,1859.9939920000002,1230.911236,242.34738,57.09343267,36.58893292,134.88720790000002,2.0663704430000003,96.24024182,20.2665237,0.310835071883241,0.387928695193609,0.06996078697327901,0.027241842686092,0.00506,1.1791,0.00457,0.43868999999999997,0.5575,0.0009400000000000001,0.00173,0.99021,0.01735,0.01845,True,-6.04692984,36.44385910000001,4,1,top,False
icr006530,6.59,0.07,0.71,0.0,0.71,1495.5984034770001,1002.4522940255,178.58306809599998,28.0314534575,2.12,57.7,4.19,1.31941703681405,1.9210311330628798,0.024305424427037998,9.103383924995759,41600.31625,807.85494785,10.162357775,79.97531782,20.4033794,23282.6423,2759.099866,1196.7590265000001,293.54069310000006,45.20789581,34.346547525,165.31729850000005,4.781452974,78.60095641,23.691929725,0.7139013671089259,0.4572254026515301,0.30474187409903397,0.015837498657858,0.00506,0.9818399999999999,0.00457,0.14826,0.5575,0.00165,0.00185,1.62392,0.02,0.01845,True,-6.11749,36.4577,5,1,top,False
icr006531,5.98,0.05,0.4,0.0,0.4,2065.3182654770003,1193.6360340255,149.726528296,16.6853199675,0.96,62.85,3.08,0.9033295496342979,1.7610519337211799,0.025664484044096,4.8620188681486605,44758.2884,654.3180424999998,10.16660054,84.17842808,21.39875239,25114.78881,2790.665706,1244.543601,263.8862764,51.63497687,35.83958358,137.3200044,4.704824006,51.37484031,23.97033557,0.7180037763117391,0.4443804929707561,0.323108357618882,0.013038758844763,0.00506,1.14878,0.00457,0.14640999999999998,0.5575,0.00221,0.00244,2.27795,0.02341,0.01845,True,-6.11749,36.4577,5,1,sub,False
icr006551,6.62,0.02,0.27,0.0,0.27,1192.930464477,581.7036419255,72.590561236,5.607876374500001,0.96,26.57,3.53,0.5424175007728379,1.12075776560763,0.012881526959674998,7.401101026641767,16871.2115,681.8240183999999,3.564709735,66.093099,7.188838052,9859.5946,2114.147015,1103.948359,121.8571057,34.56312985,15.82255206,63.71831729,1.885299812,24.67074212,13.88152081,0.335905912225266,0.2300890359482889,0.11838311583627804,0.011139606569757,0.00506,1.44151,0.00457,0.3028,0.5575,0.0016600000000000002,0.0031100000000000004,1.9464099999999998,0.02582,0.01845,True,-6.08820009,36.46326065,6,1,sub,False
