SSN,M3 Ca,M3 K,M3 Al,M3 P,M3 S,PH,Psa asand,Psa asilt,Psa aclay,Volfr,Awc1,Lshrinkpct,Flash2000_N_ppm,Acidified carbon,pH,Leco_N_ppm,C % Org,ICP OES K mg/kg ,ICP OES P mg/kg ,P,K,S,Ca,Mg,Cu,Cl,Zn,Fe,Mn,Mo,Latitude,Longitude,Cluster,Depth,Country,Cultivated
icr006475,207.1,306.3,1095.0,4.495,18.96,4.6819999999999995,97.84866667,1.8453333330000001,0.306,1.0885,0.034962,5.0,392.82719000000003,0.429812849,4.57,500.0,0.47,1487.768795,83.55548226,50.6,12991.3,45.7,944.1,5575.0,13.0,210.2,22.0,12501.3,81.9,184.5,-6.08874989,36.43598175,2,sub,Tanzania,False
icr006586,1665.0,1186.0,1165.0,12.51,13.6,7.062,89.52,9.553666667,0.926333333,1.024,0.042649,7.142857000000001,859.4690800000001,0.912363748,7.06,1100.0,1.09,9379.867053,230.5939613,50.6,15173.5,45.7,9301.0,5519.1,18.4,152.6,38.5,24094.6,422.4,184.5,-6.05574989,36.45772171,8,top,Tanzania,False
icr021104,258.7,35.25,441.4,4.4239999999999995,3.608,5.522,89.95,5.205,4.845,1.2945,0.091913,0.0,186.29957,0.21961411100000003,5.27,200.0,0.25,272.8821309,29.28125586,50.6,6838.9,45.7,884.3,5575.0,2.8,229.5,2.3,2213.4,13.2,184.5,-8.04930496,37.33369827,14,sub,Tanzania,False
icr033622,11858.3,1156.0,108.286,31.233,25.46,8.583,91.445,6.31,2.245,0.963,0.159708,6.428571,1026.56581,1.083014786,8.5,900.0,1.01,5259.289698,622.2239635,431.6,15845.8,45.7,46529.1,33771.2,13.0,58.2,29.8,24135.0,460.4,184.5,4.17808723,38.26189041,2,sub,Ethiopia,unknown
icr006570,896.2,607.3,1151.0,5.9860000000000015,20.08,6.6610000000000005,97.78966667,1.885,0.32566666699999997,1.1420000000000001,0.033089,0.714286,377.73812000000004,0.527139922,6.5,600.0,0.62,2434.413016,115.2061061,50.6,12201.6,45.7,1790.1,5575.0,7.7,122.5,13.4,9135.1,132.6,184.5,-6.06997013,36.46458817,7,top,Tanzania,False
icr048642,2450.0,162.0,1170.0,3.0,18.4,5.72,83.62,11.005,5.375,0.909,0.11216199999999998,10.714286,2520.21961,4.359586,5.41,3000.0,4.54,935.8625642999999,384.6753665,50.6,4731.1,45.7,4924.8,5575.0,56.1,145.1,40.6,67075.9,586.1,184.5,-27.5431,30.070999999999998,12,top,South Africa,False
icr054201,780.0,196.0,775.0,7.39,30.7,5.37,74.895,14.35,10.755,0.956,0.122708,3.571429,1592.95134,2.063093305,5.73,1800.0,2.36,916.4389833999999,275.12148019999995,50.6,5669.3,45.7,958.2,5575.0,8.2,61.2,18.9,13334.5,689.5,184.5,0.53347302,32.26804352,3,top,Uganda,False
icr075697,490.0,137.0,223.0,2.06,13.4,7.95,88.31,6.15,5.54,1.227,0.141905,0.0,186.50601,0.189291298,7.58,300.0,0.28,1090.6524029999996,14.91931412,50.6,4809.2,45.7,491.8,5575.0,1.4,52.3,3.2,3628.1,18.4,184.5,-15.867407,26.098539000000002,2,sub,Zambia,False
icr037699,574.6,78.381,1250.0,0.917,7.285,5.061,93.555,3.68,2.765,0.987405,0.13045,6.428571,411.88836,0.52700606,4.87,500.0,0.68,1425.1320230000001,81.34530821,50.6,4460.8,45.7,706.1,5575.0,15.7,217.7,17.9,17019.0,230.3,184.5,11.34972,-5.469775,16,top,Mali,unknown
icr041740,8030.0,369.0,298.0,9.69,70.0,8.77,100.0,0.0,0.0,0.9490000000000001,0.109242,7.142857000000001,409.79218,0.522571117,8.19,500.0,0.57,3208.0069719999997,75.84698376,50.6,6486.6,45.7,22555.2,5728.4,8.3,664.1,15.2,10860.0,333.9,184.5,-2.64416289,39.5366745,6,sub,Kenya,unknown
icr068150,91.5,63.3,714.0,3.39,7.16,4.58,90.835,4.84,4.33,1.1975,0.049174,0.0,89.39906999999998,0.102017421,4.96,100.0,0.15,380.5693789,71.19072679,50.6,1303.7,45.7,111.8,5575.0,4.0,109.2,6.6,9782.9,67.7,184.5,13.418404999999998,1.7315933330000002,3,sub,Niger,unknown
icr068521,562.0,33.5,410.0,3.43,2.99,5.76,62.8,19.83,17.37,1.1155,0.09132,0.0,302.35342,0.41811043,6.39,300.0,0.41,1028.3232890000004,73.15321970000002,50.6,36461.1,45.7,1680.9,5575.0,5.1,48.9,11.3,11936.8,120.8,184.5,11.312660000000001,8.148253333,6,top,Nigeria,unknown
icr070263,194.0,39.0,443.0,1.08,3.43,6.19,85.285,6.165,8.545,1.186,0.073523,0.0,116.04608999999998,0.180606075,6.23,100.0,0.25,349.858457,62.38440424,50.6,1078.4,45.7,304.1,5575.0,3.1,37.5,4.8,7355.0,283.0,184.5,9.17576,5.711345,9,sub,Nigeria,unknown
icr072386,43.3,5.83,964.0,4.08,7.05,5.18,89.335,5.985,4.685,1.232,0.121143,0.0,308.16359,0.510163754,4.7,300.0,0.62,167.4829196,39.72501079999999,50.6,413.2,45.7,74.0,5575.0,3.2,114.3,4.2,7102.4,50.2,184.5,-7.31065,15.71785667,8,sub,Angola,unknown
icr072466,488.0,168.0,1670.0,4.46,11.4,5.4,85.68,7.735,6.585,0.946,0.106753,6.428571,1373.0504400000002,2.489031792,5.09,1400.0000000000002,2.42,1754.491677,185.1875125,50.6,7641.4,45.7,733.6,5575.0,14.9,50.6,14.1,31536.9,140.7,184.5,-7.315528333,15.74003333,12,sub,Angola,unknown
icr069890,421.0,61.5,400.0,2.73,2.93,6.68,93.15,3.105,3.745,1.2605,0.115765,3.571429,94.5018,0.170566238,6.74,100.0,0.21,548.1459917999998,29.05938374,50.6,1826.1,45.7,331.1,5575.0,2.7,66.4,3.5,3110.4,60.0,184.5,14.83103333,-7.823068332999999,6,sub,Mali,unknown
icr069970,325.0,35.5,326.0,2.2,3.7,6.57,93.76,2.63,3.61,1.2725,0.082911,3.571429,63.26585,0.116679899,6.51,100.0,0.19,732.5326699,37.18323389,50.6,1739.9,45.7,257.9,5575.0,2.9,88.3,3.3,3414.9,56.5,184.5,14.83648167,-7.809873333,10,sub,Mali,unknown
